A	-0.5358132 -0.58720386 -0.64967376 0.6362214 0.053294033 0.05443605 0.5420339 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
C	-0.498811 -0.6147 -0.7275313 0.53844213 -0.4170406 -0.010684984 0.4326044 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0
B	0.09804803 0.4021615 0.23779702 0.1430343 -0.80736315 0.16224885 -0.501433 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0
E	-0.67432016 -0.31828412 -0.76466596 0.7047104 -0.16999283 -0.06718787 0.17951806 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0
D	-0.65239257 -0.41924623 -0.72718585 0.7098188 -0.05128857 -0.050907355 0.24726672 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0
G	-0.5301182 -0.54689586 -0.7012578 0.58806705 0.10839125 -0.019834379 0.45506018 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
F	-0.549146 -0.39556122 -0.8179958 0.52049863 0.14438128 -0.17313996 0.1988656 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0
I	-0.4852859 -0.19118862 -0.8338296 0.40316758 0.12585536 -0.2672976 0.12772803 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0
H	-0.61196333 -0.49366903 -0.7318915 0.657561 -0.16088933 -0.058213145 0.28380302 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0
K	-0.55149657 -0.027685735 -0.85432845 0.46657294 -0.024860263 -0.2940349 -0.06319477 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0
J	0.16151053 0.62944317 0.24586381 -0.010078112 -0.5453857 -0.016475474 -0.5814645 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0
M	-0.526876 -0.41989842 -0.7306472 0.56317556 0.07056641 -0.09104714 0.34038082 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0
L	-0.5884766 -0.46071497 -0.7564542 0.612025 0.06554815 -0.097484075 0.28840503 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0
O	0.030589981 -0.09014478 0.34236148 0.032648414 -0.18469298 0.31888133 -0.29899693 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0
N	-0.5807282 -0.12363393 -0.8801461 0.49545166 0.22429276 -0.29835668 -0.018828064 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0
Q	-0.64309245 -0.28798434 -0.756034 0.6627253 0.12933147 -0.12821539 0.14756446 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0
P	-0.60779107 -0.5670918 -0.6846378 0.6937873 0.07832412 0.002448076 0.41261178 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0
S	-0.56360304 -0.3688655 -0.7829371 0.568005 0.25281623 -0.14054264 0.22889322 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0
R	-0.6614241 -0.5230489 -0.70454484 0.7340604 -0.15179724 0.03922819 0.38029388 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0
U	-0.6859525 0.08141684 -0.20158081 1.0254254 -0.36871758 0.3154688 -0.57735527 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0
T	-0.5636666 -0.4594387 -0.72038704 0.6003779 0.20627703 -0.059780907 0.3561037 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0
W	-0.6665271 -0.5838052 -0.79495794 0.70502156 0.08423879 -0.0667464 0.25558472 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0
V	-0.5490963 -0.5062943 -0.69833577 0.61637014 0.070822984 -0.0309816 0.41804433 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
Y	-0.6130092 -0.34607354 -0.83043885 0.5999939 0.06552791 -0.17564318 0.11186696 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0
X	-1.894335 0.74057 -0.61393535 2.2776291 -0.26904404 0.045708362 -0.74427193 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0
Z	0.04450246 0.38823903 0.24393599 -0.34015596 -0.62008095 0.4340456 -0.83394027 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0
